Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,0.397030,0.393165,0.395374,0.073970,633830
1962-01-03,0.000000,0.395374,0.375495,0.378808,0.070871,6564672
1962-01-04,0.000000,0.382121,0.373286,0.374943,0.070148,1199750
1962-01-05,0.000000,0.373286,0.360033,0.362242,0.067772,520646
1962-01-08,0.000000,0.365555,0.361138,0.363346,0.067978,1380845
1962-01-09,0.000000,0.369421,0.364451,0.365003,0.068288,1177114
1962-01-10,0.000000,0.373286,0.366107,0.371077,0.069425,882835
1962-01-11,0.000000,0.373286,0.367764,0.372182,0.069631,588557
1962-01-12,0.000000,0.375495,0.371077,0.371077,0.069425,407462
1962-01-15,0.000000,0.373286,0.366660,0.367764,0.068805,792288
1962-01-16,0.000000,0.365555,0.362242,0.363346,0.067978,384826
1962-01-17,0.000000,0.364451,0.354511,0.354511,0.066325,498010
1962-01-18,0.000000,0.361138,0.352302,0.361138,0.067565,1177114
1962-01-19,0.000000,0.369973,0.362242,0.367764,0.068805,633830
1962-01-22,0.000000,0.368868,0.362242,0.364451,0.068185,837562
1962-01-23,0.000000,0.363346,0.360033,0.362242,0.067772,928109
1962-01-24,0.000000,0.365555,0.357824,0.365003,0.068288,996019
1962-01-25,0.000000,0.365003,0.362242,0.363346,0.067978,611194
1962-01-26,0.000000,0.362242,0.354511,0.354511,0.066325,928109
1962-01-29,0.000000,0.363346,0.356168,0.362242,0.067772,747014
1962-01-30,0.000000,0.365003,0.361690,0.361690,0.067668,882835
1962-01-31,0.000000,0.366660,0.361138,0.366660,0.068598,814925
1962-02-01,0.000000,0.368868,0.365555,0.368868,0.069011,498010
1962-02-02,0.000000,0.368868,0.366660,0.368868,0.069011,430099
1962-02-05,0.000000,0.369973,0.365555,0.367764,0.068805,928109
1962-02-06,0.000000,0.372182,0.368316,0.372182,0.069631,1448755
1962-02-07,0.000000,0.372734,0.369421,0.372734,0.069735,588557
1962-02-08,0.000000,0.373286,0.369421,0.372734,0.069735,475373
1962-02-09,0.000000,0.376047,0.371077,0.376047,0.070354,679104
1962-02-12,0.000000,0.375495,0.373286,0.374390,0.070044,135821
1962-02-13,0.000000,0.378808,0.373286,0.378808,0.070871,1222387
1962-02-14,0.000000,0.382121,0.377704,0.382121,0.071491,1041293
1962-02-15,0.000000,0.386539,0.381569,0.386539,0.072317,928109
1962-02-16,0.000000,0.385987,0.382673,0.383778,0.071801,769651
1962-02-19,0.000000,0.385987,0.382121,0.382121,0.071491,1471392
1962-02-20,0.000000,0.392061,0.381017,0.392061,0.073350,1607213
1962-02-21,0.000000,0.396478,0.393165,0.394822,0.073867,950746
1962-02-23,0.000000,0.398687,0.393165,0.396478,0.074177,1154477
1962-02-26,0.000000,0.398687,0.392613,0.393165,0.073557,2037312
1962-02-27,0.000000,0.390956,0.388195,0.389852,0.072937,837562
1962-02-28,0.000000,0.394270,0.389300,0.394270,0.073764,452736
1962-03-01,0.000000,0.396478,0.393717,0.395926,0.074074,611194
1962-03-02,0.000000,0.396478,0.392061,0.394270,0.073764,905472
1962-03-05,0.000000,0.394822,0.387643,0.394270,0.073764,905472
1962-03-06,0.000000,0.398687,0.394270,0.397583,0.074718,1109203
1962-03-07,0.000000,0.400344,0.396478,0.400344,0.075237,1041293
1962-03-08,0.000000,0.404209,0.399791,0.403105,0.075756,294278
1962-03-09,0.000000,0.407522,0.399791,0.405866,0.076275,1177114
1962-03-12,0.000000,0.407522,0.404209,0.405866,0.076275,2444774
1962-03-13,0.000000,0.415253,0.408074,0.409731,0.077001,2241043
1962-03-14,0.000000,0.414149,0.410835,0.410835,0.077209,1539302
1962-03-15,0.000000,0.413044,0.409731,0.412492,0.077520,814925
1962-03-16,0.000000,0.415253,0.410835,0.415253,0.078039,928109
1962-03-19,0.000000,0.415253,0.413044,0.413596,0.077728,724378
1962-03-20,0.000000,0.416910,0.410835,0.411388,0.077313,1267661
1962-03-21,0.000000,0.414701,0.407522,0.407522,0.076586,2059949
1962-03-22,0.000000,0.415253,0.408627,0.413044,0.077624,565920
1962-03-23,0.000000,0.419118,0.415253,0.418014,0.078558,1063930
1962-03-26,0.000000,0.419118,0.415253,0.415253,0.078039,769651
1962-03-27,0.000000,0.416357,0.413044,0.414149,0.077832,588557
1962-03-28,0.000000,0.414149,0.410835,0.413044,0.077624,1358208
1962-03-29,0.000000,0.415253,0.414149,0.415253,0.078039,294278
1962-03-30,0.000000,0.417462,0.413044,0.416357,0.078247,905472
1962-04-02,0.000000,0.416357,0.413044,0.414701,0.077935,520646
1962-04-03,0.000000,0.413596,0.407522,0.407522,0.076586,701741
1962-04-04,0.000000,0.409179,0.406418,0.407522,0.076586,747014
1962-04-05,0.000000,0.407522,0.404761,0.406970,0.076483,814925
1962-04-06,0.000000,0.406418,0.393165,0.394270,0.074096,656467
1962-04-09,0.000000,0.394270,0.389852,0.391509,0.073577,565920
1962-04-10,0.000000,0.399791,0.389852,0.398687,0.074926,611194
1962-04-11,0.000000,0.400896,0.396478,0.396478,0.074511,271642
1962-04-12,0.000000,0.394270,0.386539,0.387643,0.072850,724378
1962-04-13,0.000000,0.393165,0.378808,0.393165,0.073888,882835
1962-04-16,0.000000,0.395374,0.386539,0.388748,0.073058,973382
1962-04-17,0.000000,0.390404,0.378808,0.378808,0.071190,633830
1962-04-18,0.000000,0.384330,0.378808,0.384330,0.072228,498010
1962-04-19,0.000000,0.388748,0.386539,0.387091,0.072747,339552
1962-04-23,0.000000,0.389852,0.385434,0.387643,0.072850,407462
1962-04-24,0.000000,0.389852,0.383778,0.385434,0.072435,679104
1962-04-25,0.000000,0.383778,0.379360,0.379912,0.071397,339552
1962-04-26,0.000000,0.379912,0.375495,0.376047,0.070671,679104
1962-04-27,0.000000,0.376599,0.371629,0.371629,0.069841,724378
1962-04-30,0.000000,0.376599,0.372182,0.372734,0.070048,611194
1962-05-01,0.000000,0.371077,0.363346,0.371077,0.069737,747014
1962-05-02,0.000000,0.379360,0.373286,0.375495,0.070567,1607213
1962-05-03,0.000000,0.378808,0.375495,0.377704,0.070983,1335571
1962-05-04,0.000000,0.383226,0.377151,0.383226,0.072020,2082586
1962-05-07,0.000000,0.387643,0.383226,0.386539,0.072643,724378
1962-05-08,0.000000,0.390956,0.383226,0.384330,0.072228,520646
1962-05-09,0.000000,0.383778,0.376599,0.383778,0.072124,633830
1962-05-10,0.000000,0.381017,0.376599,0.377704,0.070983,747014
1962-05-11,0.000000,0.382121,0.377151,0.377704,0.070983,882835
1962-05-14,0.000000,0.371077,0.360033,0.371077,0.069737,1539302
1962-05-15,0.000000,0.375495,0.367764,0.375495,0.070567,1177114
1962-05-16,0.000000,0.377704,0.374390,0.376599,0.070775,656467
1962-05-17,0.000000,0.373286,0.365555,0.365555,0.068699,430099
1962-05-18,0.000000,0.368868,0.361138,0.368868,0.069322,882835
1962-05-21,0.000000,0.372182,0.367764,0.368316,0.069218,475373
1962-05-22,0.000000,0.370525,0.363899,0.364451,0.068492,701741
1962-05-23,0.000000,0.363899,0.353407,0.353407,0.066416,1109203
1962-05-24,0.000000,0.353959,0.339050,0.339050,0.063718,1697760
1962-05-25,0.000000,0.336289,0.327454,0.329110,0.061850,1539302
1962-05-28,0.000000,0.329662,0.316962,0.324693,0.061020,1561939
1962-05-29,0.000000,0.324693,0.311440,0.320275,0.060190,3259699
1962-05-31,0.000000,0.342363,0.321379,0.326349,0.061331,3961440
1962-06-01,0.000000,0.326349,0.318618,0.321379,0.060397,1448755
1962-06-04,0.000000,0.321379,0.300948,0.303709,0.057077,2535322
1962-06-05,0.000000,0.303709,0.290456,0.293769,0.055532,2512685
1962-06-06,0.000000,0.307022,0.297083,0.300396,0.056784,2105222
1962-06-07,0.000000,0.303709,0.297083,0.303709,0.057411,973382
1962-06-08,0.000000,0.313096,0.303709,0.313096,0.059185,1516666
1962-06-11,0.000000,0.321379,0.302605,0.303157,0.057306,1901491
1962-06-12,0.000000,0.303157,0.295978,0.295978,0.055949,1494029
1962-06-13,0.000000,0.308127,0.292113,0.293769,0.055532,2173133
1962-06-14,0.000000,0.297635,0.289352,0.293217,0.055427,2693779
1962-06-15,0.000000,0.300396,0.278308,0.298187,0.056367,3802982
1962-06-18,0.000000,0.305918,0.291561,0.300396,0.056784,814925
1962-06-19,0.000000,0.300396,0.296530,0.298187,0.056367,701741
1962-06-20,0.000000,0.299291,0.288247,0.292665,0.055323,1629850
1962-06-21,0.000000,0.287143,0.282725,0.283278,0.053548,1494029
1962-06-22,0.000000,0.281621,0.272234,0.272234,0.051461,2603232
1962-06-25,0.000000,0.278308,0.265055,0.278308,0.052609,3055968
1962-06-26,0.000000,0.286039,0.276099,0.276651,0.052296,1652486
1962-06-27,0.000000,0.274443,0.267816,0.273890,0.051774,1743034
1962-06-28,0.000000,0.288247,0.278308,0.287143,0.054279,1946765
1962-06-29,0.000000,0.300948,0.287143,0.287143,0.054279,1901491
1962-07-02,0.000000,0.299844,0.286039,0.298187,0.056367,996019
1962-07-03,0.000000,0.311440,0.298739,0.307022,0.058037,1561939
1962-07-05,0.000000,0.310888,0.305918,0.310335,0.058663,1403482
